gsk_date,close_price
1/1/1998,53.8125
2/1/1998,54.3125
3/1/1998,54.125
4/1/1998,56.5625
5/1/1998,53.9375
6/1/1998,59.8125
7/1/1998,60.8125
8/1/1998,55.375
9/1/1998,57.125
10/1/1998,62.25
11/1/1998,63.5
12/1/1998,69.5
1/1/1999,67.875
2/1/1999,64.0625
3/1/1999,66.9375
4/1/1999,58
5/1/1999,56.25
6/1/1999,56.625
7/1/1999,52.1875
8/1/1999,52.9375
9/1/1999,52
10/1/1999,59.875
11/1/1999,59.4375
12/1/1999,55.875
1/1/2000,52.75
2/1/2000,48.75
3/1/2000,57.3125
4/1/2000,62.8125
5/1/2000,56.3125
6/1/2000,57.8125
7/1/2000,57.125
8/1/2000,57.5625
9/1/2000,60.4375
10/1/2000,58.1875
11/1/2000,57.3125
12/1/2000,56
1/1/2001,52.549999
2/1/2001,55.310001
3/1/2001,52.299999
4/1/2001,53.57
5/1/2001,54.689999
6/1/2001,56.200001
7/1/2001,57.759998
8/1/2001,52.950001
9/1/2001,56.119999
10/1/2001,53.400002
11/1/2001,50.810001
12/1/2001,49.82
1/1/2002,48.220001
2/1/2002,48.950001
3/1/2002,47
4/1/2002,48.049999
5/1/2002,40.75
6/1/2002,43.139999
7/1/2002,39.5
8/1/2002,37.889999
9/1/2002,38.43
10/1/2002,37.689999
11/1/2002,38
12/1/2002,37.459999
1/1/2003,38.759998
2/1/2003,35.049999
3/1/2003,35.189999
4/1/2003,40.52
5/1/2003,40.009998
6/1/2003,40.540001
7/1/2003,38.310001
8/1/2003,38.830002
9/1/2003,42.400002
10/1/2003,43.290001
11/1/2003,45.880001
12/1/2003,46.619999
1/1/2004,44
2/1/2004,42.619999
3/1/2004,39.950001
4/1/2004,42
5/1/2004,42.450001
6/1/2004,41.459999
7/1/2004,40.950001
8/1/2004,41.139999
9/1/2004,43.73
10/1/2004,42.400002
11/1/2004,42.540001
12/1/2004,47.389999
1/1/2005,44.57
2/1/2005,48.220001
3/1/2005,45.919998
4/1/2005,50.549999
5/1/2005,49.700001
6/1/2005,48.509998
7/1/2005,47.439999
8/1/2005,48.720001
9/1/2005,51.279999
10/1/2005,51.990002
11/1/2005,49.57
12/1/2005,50.48
1/1/2006,51.240002
2/1/2006,50.82
3/1/2006,52.310001
4/1/2006,56.880001
5/1/2006,55.299999
6/1/2006,55.799999
7/1/2006,55.330002
8/1/2006,56.779999
9/1/2006,53.23
10/1/2006,53.25
11/1/2006,53.130001
12/1/2006,52.759998
1/1/2007,54.130001
2/1/2007,56.139999
3/1/2007,55.259998
4/1/2007,57.779999
5/1/2007,52.18
6/1/2007,52.369999
7/1/2007,51.080002
8/1/2007,52.220001
9/1/2007,53.200001
10/1/2007,51.25
11/1/2007,52.68
12/1/2007,50.389999
1/1/2008,47.380001
2/1/2008,43.91
3/1/2008,42.43
4/1/2008,44.110001
5/1/2008,44.529999
6/1/2008,44.220001
7/1/2008,46.560001
8/1/2008,46.970001
9/1/2008,43.459999
10/1/2008,38.700001
11/1/2008,34.439999
12/1/2008,37.27
1/1/2009,35.259998
2/1/2009,30.129999
3/1/2009,31.07
4/1/2009,30.76
5/1/2009,33.709999
6/1/2009,35.34
7/1/2009,38.290001
8/1/2009,39.099998
9/1/2009,39.509998
10/1/2009,41.16
11/1/2009,41.470001
12/1/2009,42.25
1/1/2010,39.009998
2/1/2010,37.139999
3/1/2010,38.52
4/1/2010,37.290001
5/1/2010,33.459999
6/1/2010,34.009998
7/1/2010,35.169998
8/1/2010,37.400002
9/1/2010,39.52
10/1/2010,39.040001
11/1/2010,38.279999
12/1/2010,39.220001
1/1/2011,36.330002
2/1/2011,38.610001
3/1/2011,38.41
4/1/2011,43.66
5/1/2011,43.459999
6/1/2011,42.900002
7/1/2011,44.419998
8/1/2011,42.830002
9/1/2011,41.290001
10/1/2011,44.790001
11/1/2011,44.48
12/1/2011,45.630001
1/1/2012,44.540001
2/1/2012,44.310001
3/1/2012,44.91
4/1/2012,46.23
5/1/2012,44.110001
6/1/2012,45.57
7/1/2012,46
8/1/2012,45.490002
9/1/2012,46.240002
10/1/2012,44.900002
11/1/2012,43.009998
12/1/2012,43.470001
1/1/2013,45.610001
2/1/2013,44.029999
3/1/2013,46.91
4/1/2013,51.639999
5/1/2013,51.77
6/1/2013,49.970001
7/1/2013,50.959999
8/1/2013,50.889999
9/1/2013,50.169998
10/1/2013,52.630001
11/1/2013,52.919998
12/1/2013,53.389999
1/1/2014,51.540001
2/1/2014,55.939999
3/1/2014,53.43
4/1/2014,55.369999
5/1/2014,53.939999
6/1/2014,53.48
7/1/2014,48.369999
8/1/2014,49.099998
9/1/2014,45.970001
10/1/2014,45.490002
11/1/2014,46.450001
12/1/2014,42.740002
1/1/2015,44
2/1/2015,47.419998
3/1/2015,46.150002
4/1/2015,46.150002
5/1/2015,44.369999
6/1/2015,41.650002
7/1/2015,43.439999
8/1/2015,40.93
